Date,Open,High,Low,Close,Adj Close,Volume
2021-03-22,82000.0,82300.0,81700.0,82000.0,80115.0546875,12670506
2021-03-23,82600.0,82900.0,81800.0,81800.0,79919.6484375,13299907
2021-03-24,81000.0,81600.0,80700.0,81000.0,79138.046875,17926638
2021-03-25,81000.0,82100.0,80800.0,81200.0,79333.4453125,14758826
2021-03-26,81400.0,81600.0,81000.0,81500.0,79626.5546875,12845778
2021-03-29,81700.0,81700.0,81000.0,81600.0,79724.2578125,14952134
2021-03-30,81600.0,82300.0,81300.0,82200.0,80667.3359375,13121698
2021-03-31,82400.0,82700.0,81400.0,81400.0,79882.2578125,17240518
2021-04-01,82500.0,83000.0,82000.0,82900.0,81354.2734375,18676461
2021-04-02,84000.0,85200.0,83900.0,84800.0,83218.8671875,22997538
2021-04-05,85800.0,86000.0,84800.0,85400.0,83807.6640625,16255990
2021-04-06,86200.0,86200.0,85100.0,86000.0,84396.484375,19042023
2021-04-07,86100.0,86200.0,85400.0,85600.0,84003.9453125,17885538
2021-04-08,85700.0,85700.0,84100.0,84700.0,83120.7265625,19244259
2021-04-09,84700.0,84900.0,83400.0,83600.0,82041.234375,18193707
2021-04-12,84100.0,84100.0,83100.0,83200.0,81648.6953125,12915282
2021-04-13,83000.0,84500.0,82800.0,84000.0,82433.7734375,15238206
2021-04-14,84000.0,84300.0,83400.0,84000.0,82433.7734375,13794652
2021-04-15,83700.0,84500.0,83400.0,84100.0,82531.9140625,16377412
2021-04-16,84700.0,84700.0,83600.0,83900.0,82335.640625,15429522
2021-04-19,83800.0,84000.0,83300.0,83300.0,81746.8203125,15287311
2021-04-20,83300.0,84000.0,83100.0,83900.0,82335.640625,15521965
2021-04-21,83300.0,83500.0,82500.0,82600.0,81059.875,21636079
2021-04-22,82900.0,83000.0,82400.0,82400.0,80863.6171875,13934746
2021-04-23,81900.0,82900.0,81600.0,82800.0,81256.1484375,17805080
2021-04-26,82900.0,83500.0,82600.0,83500.0,81943.09375,15489938
2021-04-27,83200.0,83300.0,82500.0,82900.0,81354.2734375,12941533
2021-04-28,83200.0,83200.0,82100.0,82100.0,80569.1953125,15596759
2021-04-29,82400.0,82500.0,81500.0,81700.0,80176.65625,20000973
2021-04-30,81900.0,82100.0,81500.0,81500.0,79980.390625,18673197
2021-05-03,81000.0,82400.0,81000.0,81700.0,80176.65625,15710336
2021-05-04,81900.0,82600.0,81800.0,82600.0,81059.875,12532550
2021-05-06,81700.0,82300.0,81700.0,82300.0,80765.46875,17047511
2021-05-07,81800.0,82100.0,81500.0,81900.0,80372.9296875,14154882
2021-05-10,82300.0,83500.0,81800.0,83200.0,81648.6953125,19385027
2021-05-11,82500.0,82600.0,81100.0,81200.0,79685.9765625,28996680
2021-05-12,80800.0,81200.0,79800.0,80000.0,78508.359375,35812268
2021-05-13,78900.0,79600.0,78400.0,78500.0,77036.328125,31490096
2021-05-14,79000.0,80300.0,78900.0,80100.0,78606.484375,16450920
2021-05-17,80800.0,80900.0,79200.0,79600.0,78115.8203125,17740855
2021-05-18,79600.0,80000.0,79100.0,79600.0,78115.8203125,17494407
2021-05-20,79400.0,79700.0,79100.0,79500.0,78017.671875,16541828
2021-05-21,80100.0,81500.0,79800.0,80100.0,78606.484375,20961714
2021-05-24,80100.0,80400.0,79500.0,79700.0,78213.953125,13398666
2021-05-25,80000.0,80400.0,79800.0,79900.0,78410.2265625,13628942
2021-05-26,80400.0,80500.0,79700.0,79800.0,78312.0859375,11984359
2021-05-27,80000.0,80000.0,79100.0,79600.0,78115.8203125,23198510
2021-05-28,79800.0,80400.0,79400.0,80100.0,78606.484375,12360199
2021-05-31,80300.0,80600.0,79600.0,80500.0,78999.0234375,13321324
2021-06-01,80500.0,81300.0,80100.0,80600.0,79097.171875,14058401
2021-06-02,80400.0,81400.0,80300.0,80800.0,79293.4453125,16414644
2021-06-03,81300.0,83000.0,81100.0,82800.0,81256.1484375,29546007
2021-06-04,82700.0,82700.0,81500.0,82200.0,80667.3359375,18112259
2021-06-07,82700.0,82800.0,81600.0,81900.0,80372.9296875,16496197
2021-06-08,82300.0,82600.0,81800.0,81900.0,80372.9296875,12781226
2021-06-09,81500.0,82000.0,81100.0,81100.0,79587.84375,14908823
2021-06-10,81300.0,81400.0,80900.0,81000.0,79489.7109375,17586995
2021-06-11,81200.0,81700.0,80700.0,81000.0,79489.7109375,14087962
2021-06-14,80800.0,80900.0,80500.0,80500.0,78999.0234375,10550078
2021-06-15,80900.0,81200.0,80600.0,80900.0,79391.5703125,10075685
2021-06-16,81500.0,81900.0,81100.0,81800.0,80274.7890625,14999855
2021-06-17,81100.0,81300.0,80700.0,80900.0,79391.5703125,14007385
2021-06-18,81100.0,81100.0,80500.0,80500.0,78999.0234375,14916721
2021-06-21,79700.0,80000.0,79600.0,79900.0,78410.2265625,16063340
2021-06-22,80200.0,80300.0,79900.0,80000.0,78508.359375,11773365
2021-06-23,80500.0,80600.0,79900.0,80100.0,78606.484375,13856548
2021-06-24,80400.0,81400.0,80100.0,81200.0,79685.9765625,18771080
2021-06-25,81500.0,81900.0,81200.0,81600.0,80078.5234375,13481405
2021-06-28,81700.0,82000.0,81600.0,81900.0,80372.9296875,11578529
2021-06-29,81900.0,82100.0,80800.0,81000.0,79841.640625,15744317
2021-06-30,81100.0,81400.0,80700.0,80700.0,79545.9296875,13288643
2021-07-01,80500.0,80600.0,80000.0,80100.0,78954.5,13382882
2021-07-02,80000.0,80400.0,79900.0,80000.0,78855.9375,8753097
2021-07-05,80100.0,80800.0,80000.0,80400.0,79250.21875,8330969
2021-07-06,80600.0,81200.0,80500.0,81200.0,80038.78125,12131651
2021-07-07,81200.0,81300.0,80300.0,80800.0,79644.5078125,15992202
2021-07-08,81100.0,81200.0,79900.0,79900.0,78757.3671875,16660998
2021-07-09,79600.0,79800.0,79000.0,79400.0,78264.515625,22720577
2021-07-12,79900.0,80000.0,79500.0,79700.0,78560.2265625,9768108
2021-07-13,80000.0,80200.0,79800.0,79800.0,78658.796875,9863450
2021-07-14,79400.0,79600.0,79100.0,79500.0,78363.0859375,11575636
2021-07-15,79800.0,80600.0,79500.0,80600.0,79447.3515625,13766279
2021-07-16,80100.0,80100.0,79500.0,79800.0,78658.796875,10859399
2021-07-19,79100.0,79200.0,78800.0,79000.0,77870.2421875,13155414
2021-07-20,78500.0,79000.0,78400.0,79000.0,77870.2421875,12456646
2021-07-21,79000.0,79100.0,78500.0,78500.0,77377.390625,12355296
2021-07-22,79000.0,79800.0,78900.0,79700.0,78560.2265625,12618790
2021-07-23,79700.0,79900.0,79200.0,79300.0,78165.9453125,9098910
2021-07-26,79400.0,79500.0,78800.0,78800.0,77673.1015625,10040975
2021-07-27,79200.0,79400.0,78500.0,78500.0,77377.390625,11427693
